No,crystal structure,Fe,Cr,Mn,Si,Co,Mo,Ni,C,Ti,N,B,P,S,Nb,Cu,Ta,Al,V,Mg,W,Zr,dr,tem,irrtype,disden,PreHe,dose
1,fcc,65.96,17.3,1.5,0.3,0.04,2.5,11.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00E-03,753.5,2,6.17E+14,0,18.5
2,fcc,66.23,17.3,1.5,0.3,0.04,2.5,11.4,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00E-03,753.5,2,6.17E+14,0,8.2
3,fcc,66.9,17.3,1.5,0.3,0.04,2.5,11.4,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00E-03,753.5,2,6.17E+14,0,5.6
4,fcc,66.92,17.3,1.5,0.3,0.04,2.5,11.4,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00E-03,753.5,2,6.17E+14,0,4.2
5,fcc,66.51,17.3,1.5,0.3,0.04,2.5,11.4,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00E-03,753.5,2,6.17E+14,0,3.6
6,fcc,66.95,17.3,1.5,0.3,0.04,2.5,11.4,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00E-03,753.5,2,6.17E+14,0,4
7,fcc,66.92,17.3,1.5,0.3,0.04,2.5,11.4,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90E-03,753.5,2,6.17E+14,0,8.2
8,fcc,66.92,17.3,1.5,0.3,0.04,2.5,11.4,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05E-03,753.5,2,6.17E+14,0,8.2
9,fcc,66.92,17.3,1.5,0.3,0.04,2.5,11.4,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,6.82E-03,753.5,2,6.17E+14,0,8.2
10,fcc,66.92,17.3,1.5,0.3,0.04,2.5,11.4,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00E-03,848.5,2,2.94E+14,0,5.5
11,fcc,66.51,17.3,1.5,0.3,0.04,2.5,11.4,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00E-03,848.5,2,2.94E+14,0,6.38
12,fcc,66.23,17.3,1.5,0.3,0.04,2.5,11.4,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00E-03,848.5,2,2.94E+14,0,12.1
13,fcc,66.9,17.3,1.5,0.3,0.04,2.5,11.4,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00E-03,848.5,2,2.94E+14,0,12.8
14,fcc,65.96,17.3,1.5,0.3,0.04,2.5,11.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00E-03,848.5,2,2.94E+14,0,17.6
15,fcc,66.95,17.3,1.5,0.3,0.04,2.5,11.4,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00E-03,883.5,2,2.33E+14,0,6.7
16,fcc,66.92,17.3,1.5,0.3,0.04,2.5,11.4,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00E-03,883.5,2,2.33E+14,0,7.9
17,fcc,66.8,17.3,1.5,0.3,0.04,2.5,11.4,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00E-03,883.5,2,2.33E+14,0,9.9
18,fcc,66.9,17.3,1.5,0.3,0.04,2.5,11.4,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00E-03,883.5,2,2.33E+14,0,11.8
19,fcc,66.51,17.3,1.5,0.3,0.04,2.5,11.4,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00E-03,883.5,2,2.33E+14,0,13.5
20,fcc,65.96,17.3,1.5,0.3,0.04,2.5,11.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00E-03,883.5,2,2.33E+14,0,17.1
21,fcc,66.92,17.3,1.5,0.3,0.04,2.5,11.4,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00E-03,1013.5,2,1.13E+14,0,19.9
22,fcc,69.41,19.6,1.01,0.76,0,0.07,9.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54E-08,651.5,1,3.00E+14,0,3
23,fcc,70.2,19.5,0.82,0.92,0,0.02,8.5,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,6.50E-08,651.5,1,3.00E+14,0,7
24,fcc,70.2,19.5,0.82,0.92,0,0.02,8.5,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45E-07,653.5,1,3.00E+14,0,9
25,fcc,70.2,19.5,0.82,0.92,0,0.02,8.5,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70E-07,652.5,1,3.00E+14,0,10
26,fcc,69,15,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70E-06,673.5,1,4.50E+14,0,27.1
27,fcc,69,15,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.80E-07,673.5,1,3.80E+14,0,14.3
28,fcc,69,15,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.40E-07,673.5,1,2.00E+14,0,11.4
29,fcc,69,15,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10E-07,673.5,1,1.50E+14,0,5.9
30,fcc,69,15,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70E-08,673.5,1,1.00E+14,0,0.6
31,fcc,69,15,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00E-08,673.5,1,5.00E+13,0,1.9
32,fcc,68.75,15,0,0,0,0,16,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1.40E-06,673.5,1,4.50E+14,0,28.3
33,fcc,68.75,15,0,0,0,0,16,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,7.80E-07,673.5,1,3.80E+14,0,15.9
34,fcc,68.75,15,0,0,0,0,16,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,8.40E-07,673.5,1,2.00E+14,0,11.5
